StudentEmail,SubjectCode,Section
juan.delacruz@isuc.edu.ph,IT 101,BSIT 1A
mariaclara.reyes@isuc.edu.ph,IT 101,BSIT 1A
angelo.soriano@isuc.edu.ph,IT 101,BSIT 1A
patricia.lim@isuc.edu.ph,IT 101,BSIT 1A
miguel.fernandez@isuc.edu.ph,IT 101,BSIT 1A
jasmine.castro@isuc.edu.ph,IT 102,BSIT 1B
kenneth.navarro@isuc.edu.ph,IT 102,BSIT 1B
althea.rivera@isuc.edu.ph,IT 102,BSIT 1B
ryan.aguilar@isuc.edu.ph,IT 102,BSIT 1B
samantha.torres@isuc.edu.ph,IT 102,BSIT 1B
angelo.soriano@isuc.edu.ph,IT 201,BSIT 2A
patricia.lim@isuc.edu.ph,IT 201,BSIT 2A
miguel.fernandez@isuc.edu.ph,IT 201,BSIT 2A
jasmine.castro@isuc.edu.ph,IT 201,BSIT 2A
kenneth.navarro@isuc.edu.ph,IT 201,BSIT 2A
nicole.padilla@isuc.edu.ph,IT 202,BSIT 2B
francis.bernardo@isuc.edu.ph,IT 202,BSIT 2B
angelica.magsaysay@isuc.edu.ph,IT 202,BSIT 2B
kevin.dizon@isuc.edu.ph,IT 202,BSIT 2B
trisha.buenaventura@isuc.edu.ph,IT 202,BSIT 2B
jerome.basco@isuc.edu.ph,CS 101,BSCS 1A
christine.salazar@isuc.edu.ph,CS 101,BSCS 1A
daniel.ocampo@isuc.edu.ph,CS 101,BSCS 1A
nicole.padilla@isuc.edu.ph,CS 101,BSCS 1A
francis.bernardo@isuc.edu.ph,CS 101,BSCS 1A
jerome.basco@isuc.edu.ph,CS 201,BSCS 2A
christine.salazar@isuc.edu.ph,CS 201,BSCS 2A
daniel.ocampo@isuc.edu.ph,CS 201,BSCS 2A
nicole.padilla@isuc.edu.ph,CS 201,BSCS 2A
francis.bernardo@isuc.edu.ph,CS 201,BSCS 2A
daniel.ocampo@isuc.edu.ph,CS 301,BSCS 3A
nicole.padilla@isuc.edu.ph,CS 301,BSCS 3A
francis.bernardo@isuc.edu.ph,CS 301,BSCS 3A
angelica.magsaysay@isuc.edu.ph,CS 301,BSCS 3A
kevin.dizon@isuc.edu.ph,CS 301,BSCS 3A
althea.rivera@isuc.edu.ph,IT 301,BSIT 3A
ryan.aguilar@isuc.edu.ph,IT 301,BSIT 3A
samantha.torres@isuc.edu.ph,IT 301,BSIT 3A
jerome.basco@isuc.edu.ph,IT 301,BSIT 3A
christine.salazar@isuc.edu.ph,IT 301,BSIT 3A
daniel.ocampo@isuc.edu.ph,IT 302,BSIT 3B
nicole.padilla@isuc.edu.ph,IT 302,BSIT 3B
francis.bernardo@isuc.edu.ph,IT 302,BSIT 3B
angelica.magsaysay@isuc.edu.ph,IT 302,BSIT 3B
kevin.dizon@isuc.edu.ph,IT 302,BSIT 3B
juan.delacruz@isuc.edu.ph,GE 101,BSIT 1A
mariaclara.reyes@isuc.edu.ph,GE 101,BSIT 1A
angelo.soriano@isuc.edu.ph,GE 101,BSIT 1A
patricia.lim@isuc.edu.ph,GE 101,BSIT 1A
miguel.fernandez@isuc.edu.ph,GE 101,BSIT 1A
jasmine.castro@isuc.edu.ph,GE 102,BSIT 1B
kenneth.navarro@isuc.edu.ph,GE 102,BSIT 1B
althea.rivera@isuc.edu.ph,GE 102,BSIT 1B
ryan.aguilar@isuc.edu.ph,GE 102,BSIT 1B
samantha.torres@isuc.edu.ph,GE 102,BSIT 1B
