FacultyEmail,SubjectCode,SubjectName,Section
jose.santos@isuc.edu.ph,IT 101,Introduction to Computing,BSIT 1A
jose.santos@isuc.edu.ph,IT 102,Computer Programming 1,BSIT 1B
anna.cruz@isuc.edu.ph,IT 201,Data Structures and Algorithms,BSIT 2A
anna.cruz@isuc.edu.ph,IT 202,Object-Oriented Programming,BSIT 2B
mark.bautista@isuc.edu.ph,CS 101,Discrete Mathematics,BSCS 1A
mark.bautista@isuc.edu.ph,CS 201,Operating Systems,BSCS 2A
elena.ramos@isuc.edu.ph,CS 301,Software Engineering,BSCS 3A
pedro.villanueva@isuc.edu.ph,IT 301,Web Development,BSIT 3A
pedro.villanueva@isuc.edu.ph,IT 302,Database Management Systems,BSIT 3B
rosa.mendoza@isuc.edu.ph,GE 101,Understanding the Self,BSIT 1A
carlos.aquino@isuc.edu.ph,GE 102,Readings in Philippine History,BSIT 1B
lucia.pascual@isuc.edu.ph,ED 101,The Teaching Profession,BEEd 1A
ramon.delacruz@isuc.edu.ph,ED 201,Facilitating Learner-Centered Teaching,BEEd 2A
grace.tolentino@isuc.edu.ph,ED 301,Assessment of Learning,BEEd 3A
